"mangaId","title","genres"
"1",Berserk,"Action, Adventure, Award Winning, Drama, Fantasy, Horror, Supernatural"
"2",JoJo no Kimyou na Bouken Part 7: Steel Ball Run,"Action, Adventure, Mystery, Supernatural"
"3","Vagabond","Action, Adventure, Award Winning"
"4","One Piece","Action, Adventure, Fantasy"
"5","Monster","Award Winning, Drama, Mystery"
"6",Slam Dunk,"Award Winning, Sports"
"7","Fullmetal Alchemist","Action, Adventure, Award Winning, Drama, Fantasy"
"8","Vinland Saga","Action, Adventure, Award Winning, Drama"
"9","Grand Blue","Comedy"
"10","Oyasumi Punpun","Drama, Slice of Life"
"11",Kingdom,"Action, Award Winning"
"12",Houseki no Kuni,"Action, Drama, Fantasy"
"13","20th Century Boys","Award Winning, Drama, Mystery, Sci-Fi"
"14",Ashita no Joe,"Drama, Slice of Life, Sports"
"15","Monogatari Series: First Season","Action, Comedy, Mystery, Romance, Supernatural"
16,Haikyuu!!,"Award Winning, Sports"